sent_id	gold_stem	gold_label	error_type	sentence	lemma	type_tag	shape	head	tail	hfst_analysis	insertion	insertion_tagged	insertion_type	detected_error	confidence_score
114	出事	True		他们家出了点事。	出事	Verb-Object	SPLIT	出	事	出事+Lemma+Verb-Object+SPLIT+Head:出+Tail:事	了ASPECT点	了:ASPECT	ASPECT		0.5
115	把关	True		质量问题一定要把好关。	把关	Verb-Object	SPLIT	把	关	把关+Lemma+Verb-Object+SPLIT+Head:把+Tail:关	好MOD	好:MOD	MODIFIER		1.0
116	施肥	True		春天到了，给庄稼施了一遍肥。	施肥	Verb-Object	SPLIT	施	肥	施肥+Lemma+Verb-Object+SPLIT+Head:施+Tail:肥	了ASPECT一NUM遍CLF	了:ASPECT+一:NUM+遍:CLF	ASPECT_QUANT		1.0
117	倒霉	True		出门踩到泥，真是倒了大霉。	倒霉	Verb-Object	SPLIT	倒	霉	倒霉+Lemma+Verb-Object+SPLIT+Head:倒+Tail:霉	了ASPECT大MOD	了:ASPECT+大:MOD	ASPECT		1.0
118	提醒	True		谢谢你，真是给我提了个醒。	提醒	PseudoV-O	SPLIT	提	醒	提醒+Lemma+PseudoV-O+SPLIT+Head:提+Tail:醒	了ASPECT个CLF	了:ASPECT+个:CLF	ASPECT		1.0
119	出恭	True		皇帝上朝前出了一次恭。	出恭	PseudoV-O	SPLIT	出	恭	出恭+Lemma+PseudoV-O+SPLIT+Head:出+Tail:恭	了ASPECT一NUM次CLF	了:ASPECT+一:NUM+次:CLF	ASPECT_QUANT		1.0
120	将军	True		这一步棋真是将了他一军。	将军	PseudoV-O	SPLIT	将	军	将军+Lemma+PseudoV-O+SPLIT+Head:将+Tail:军	了ASPECT他PRO一NUM	了:ASPECT+他:PRO+一:NUM	ASPECT		1.0
121	学习	True		周末准备在家学三小时习。	学习	PseudoV-O	SPLIT	学	习	学习+Lemma+PseudoV-O+SPLIT+Head:学+Tail:习	三NUM小MOD时TIME	三:NUM+小:MOD+时:TIME	MODIFIER		1.0
122	慷慨	True		这些贪官都是在慷国家之慨。	慷慨	SimplexWord	SPLIT	慷	慨	慷慨+Lemma+SimplexWord+SPLIT+Head:慷+Tail:慨	国家之DE	之:DE	UNKNOWN		0.3333333333333333
123	慷慨	True		你这是慷他人之慨。	慷慨	SimplexWord	SPLIT	慷	慨	慷慨+Lemma+SimplexWord+SPLIT+Head:慷+Tail:慨	他PRO人之DE	他:PRO+之:DE	PRONOUN_DE		0.6666666666666666
124	幽默	True		人生苦短，何不幽他一默。	幽默	SimplexWord	SPLIT	幽	默	幽默+Lemma+SimplexWord+SPLIT+Head:幽+Tail:默	他PRO一NUM	他:PRO+一:NUM	PRONOUN		1.0
125	滑稽	True		这种说法简直是滑天下之大稽。	滑稽	SimplexWord	SPLIT	滑	稽	滑稽+Lemma+SimplexWord+SPLIT+Head:滑+Tail:稽	天CLF下CLF之DE大MOD	天:CLF+下:CLF+之:DE+大:MOD	QUANTIFIER		1.0
126	小便	True		刚刚去厕所小了一次便。	小便	Modifier-Head	SPLIT	小	便	小便+Lemma+Modifier-Head+SPLIT+Head:小+Tail:便	了ASPECT一NUM次CLF	了:ASPECT+一:NUM+次:CLF	ASPECT_QUANT		1.0
127	大便	True		如果不舒服，可能大不出来便。	大便	Modifier-Head	SPLIT	大	便	大便+Lemma+Modifier-Head+SPLIT+Head:大+Tail:便	不RES出来	不:RES	RESULTATIVE		0.3333333333333333
128	军训	True		大一新生刚军完了训。	军训	Modifier-Head	SPLIT	军	训	军训+Lemma+Modifier-Head+SPLIT+Head:军+Tail:训	完RES了ASPECT	完:RES+了:ASPECT	ASPECT		1.0
129	体检	True		入职前体了个检，所幸一切正常。	体检	Modifier-Head	SPLIT	体	检	体检+Lemma+Modifier-Head+SPLIT+Head:体+Tail:检	了ASPECT个CLF	了:ASPECT+个:CLF	ASPECT		1.0
130	同学	True		我和他虽然同过三年学，但不熟。	同学	Modifier-Head	SPLIT	同	学	同学+Lemma+Modifier-Head+SPLIT+Head:同+Tail:学	过ASPECT三NUM年CLF	过:ASPECT+三:NUM+年:CLF	ASPECT_QUANT		1.0
131	散步	True		晚饭后我们去散散步。	散步	Verb-Object	REDUP	散	步	散步+Lemma+Verb-Object+REDUP+Head:散+Tail:步			REDUP_SKIP		1.0
132	见面	True		好久不见，咱们见一见面吧。	见面	Verb-Object	REDUP	见	面	见面+Lemma+Verb-Object+REDUP+Head:见+Tail:面			REDUP_SKIP		1.0
133	聊天	True		周末找个咖啡馆聊聊天。	聊天	Verb-Object	REDUP	聊	天	聊天+Lemma+Verb-Object+REDUP+Head:聊+Tail:天			REDUP_SKIP		1.0
134	睡觉	True		困了就去睡一睡觉休息一下。	睡觉	Verb-Object	REDUP	睡	觉	睡觉+Lemma+Verb-Object+REDUP+Head:睡+Tail:觉			REDUP_SKIP		1.0
135	把脉	True		医生给他把把脉。	把脉	Verb-Object	REDUP	把	脉	把脉+Lemma+Verb-Object+REDUP+Head:把+Tail:脉			REDUP_SKIP		1.0
136	洗澡	True		身上脏了，去洗洗澡。	洗澡	Verb-Object	REDUP	洗	澡	洗澡+Lemma+Verb-Object+REDUP+Head:洗+Tail:澡			REDUP_SKIP		1.0
137	鼓掌	True		观众为精彩的表演鼓了鼓掌。	鼓掌	Verb-Object	REDUP	鼓	掌	鼓掌+Lemma+Verb-Object+REDUP+Head:鼓+Tail:掌			REDUP_SKIP		1.0
138	敲门	True		狼外婆敲了敲门。	敲门	Verb-Object	REDUP	敲	门	敲门+Lemma+Verb-Object+REDUP+Head:敲+Tail:门			REDUP_SKIP		1.0
139	把关	True		你可得好好给咱们女儿把把关呐。	把关	Verb-Object	REDUP	把	关	把关+Lemma+Verb-Object+REDUP+Head:把+Tail:关			REDUP_SKIP		1.0
140	拌嘴	True		小两口偶尔拌拌嘴很正常。	拌嘴	Verb-Object	REDUP	拌	嘴	拌嘴+Lemma+Verb-Object+REDUP+Head:拌+Tail:嘴			REDUP_SKIP		1.0
141	打球	True		他周末喜欢打打球。	打球	Verb-Object	REDUP	打	球	打球+Lemma+Verb-Object+REDUP+Head:打+Tail:球			REDUP_SKIP		1.0
142	看病	True		我们要带奶奶去看看病。	看病	Verb-Object	REDUP	看	病	看病+Lemma+Verb-Object+REDUP+Head:看+Tail:病			REDUP_SKIP		1.0
143	开会	True		我们来开开会商讨一下。	开会	Verb-Object	REDUP	开	会	开会+Lemma+Verb-Object+REDUP+Head:开+Tail:会			REDUP_SKIP		1.0
144	输液	True		只是要输输液而已。	输液	Verb-Object	REDUP	输	液	输液+Lemma+Verb-Object+REDUP+Head:输+Tail:液			REDUP_SKIP		1.0
145	游泳	True		他等下要去游游泳。	游泳	Verb-Object	REDUP	游	泳	游泳+Lemma+Verb-Object+REDUP+Head:游+Tail:泳			REDUP_SKIP		1.0
146	请客	True		该你请请客了。	请客	Verb-Object	REDUP	请	客	请客+Lemma+Verb-Object+REDUP+Head:请+Tail:客			REDUP_SKIP		1.0
147	放假	True		给孩子们放放假吧。	放假	Verb-Object	REDUP	放	假	放假+Lemma+Verb-Object+REDUP+Head:放+Tail:假			REDUP_SKIP		1.0
148	加班	True		要辛苦你加加班了。	加班	Verb-Object	REDUP	加	班	加班+Lemma+Verb-Object+REDUP+Head:加+Tail:班			REDUP_SKIP		1.0
150	洗澡	False	COINCIDENCE	她用洗衣机洗了好几澡盆的衣服。	洗澡	Verb-Object	SPLIT	洗	澡	洗澡+Lemma+Verb-Object+SPLIT+Head:洗+Tail:澡	衣机洗了ASPECT好MOD几NUM	了:ASPECT+好:MOD+几:NUM	ASPECT		0.5
154	走路	False	COINCIDENCE	我走在乡间的小路上。	走路	Verb-Object	SPLIT	走	路	走路+Lemma+Verb-Object+SPLIT+Head:走+Tail:路	在乡间的DE小MOD	的:DE+小:MOD	MODIFIER_DE		0.4
155	跑步	False	COINCIDENCE	他跑完了这一步棋。	跑步	Verb-Object	SPLIT	跑	步	跑步+Lemma+Verb-Object+SPLIT+Head:跑+Tail:步	完RES了ASPECT这DEM一NUM	完:RES+了:ASPECT+这:DEM+一:NUM	ASPECT		1.0
157	上网	False	COINCIDENCE	蜘蛛爬上了高高的网架。	上网	Verb-Object	SPLIT	上	网	上网+Lemma+Verb-Object+SPLIT+Head:上+Tail:网	了ASPECT高MOD高MOD的DE	了:ASPECT+高:MOD+高:MOD+的:DE	ASPECT		1.0
158	理发	False	COINCIDENCE	经理发现了问题。	理发	Verb-Object	WHOLE	理	发	理发+Lemma+Verb-Object+WHOLE+Head:理+Tail:发			EMPTY		0.5
159	搬家	False	COINCIDENCE	搬运工把家具都搬走了。	搬家	Verb-Object	SPLIT	搬	家	搬家+Lemma+Verb-Object+SPLIT+Head:搬+Tail:家	运工把CLF	把:CLF	QUANTIFIER		0.3333333333333333
162	写字	False	COINCIDENCE	请在纸上写下你的名字。	写字	Verb-Object	SPLIT	写	字	写字+Lemma+Verb-Object+SPLIT+Head:写+Tail:字	下CLF你PRO的DE名	下:CLF+你:PRO+的:DE	QUANTIFIER		0.75
169	帮忙	False	COINCIDENCE	丐帮的人都很忙。	帮忙	Verb-Object	SPLIT	帮	忙	帮忙+Lemma+Verb-Object+SPLIT+Head:帮+Tail:忙	的DE人都很MOD	的:DE+很:MOD	MODIFIER_DE		0.5
170	聊天	False	COINCIDENCE	英国的人喜欢聊天气。	聊天	Verb-Object	WHOLE	聊	天	聊天+Lemma+Verb-Object+WHOLE+Head:聊+Tail:天			EMPTY		0.5
179	拜年	False	COINCIDENCE	礼拜天年轻人都在休息。	拜年	Verb-Object	SPLIT	拜	年	拜年+Lemma+Verb-Object+SPLIT+Head:拜+Tail:年	天CLF	天:CLF	QUANTIFIER		1.0
187	告状	False	COINCIDENCE	他详细报告了目前的状况。	告状	Verb-Object	SPLIT	告	状	告状+Lemma+Verb-Object+SPLIT+Head:告+Tail:状	了ASPECT目前的DE	了:ASPECT+的:DE	ASPECT		0.5
193	吃醋	False	COINCIDENCE	你吃饺子不配醋吗？	吃醋	Verb-Object	SPLIT	吃	醋	吃醋+Lemma+Verb-Object+SPLIT+Head:吃+Tail:醋	饺子TIME不RES配	子:TIME+不:RES	RESULTATIVE		0.5
203	上课	False	COINCIDENCE	桌上放着课本。	上课	Verb-Object	SPLIT	上	课	上课+Lemma+Verb-Object+SPLIT+Head:上+Tail:课	放着ASPECT	着:ASPECT	ASPECT		0.5
209	报名	False	COINCIDENCE	报纸上有他的名字。	报名	Verb-Object	SPLIT	报	名	报名+Lemma+Verb-Object+SPLIT+Head:报+Tail:名	纸上有他PRO的DE	他:PRO+的:DE	PRONOUN_DE		0.4
212	值班	False	COINCIDENCE	他值得全班的表扬。	值班	Verb-Object	SPLIT	值	班	值班+Lemma+Verb-Object+SPLIT+Head:值+Tail:班	得RES全	得:RES	RESULTATIVE		0.5
223	吃苦	False	COINCIDENCE	他吃了一口苦瓜。	吃苦	Verb-Object	SPLIT	吃	苦	吃苦+Lemma+Verb-Object+SPLIT+Head:吃+Tail:苦	了ASPECT一NUM口CLF	了:ASPECT+一:NUM+口:CLF	ASPECT_QUANT		1.0
235	打工	False	COINCIDENCE	你为什么打工地上的人？	打工	Verb-Object	WHOLE	打	工	打工+Lemma+Verb-Object+WHOLE+Head:打+Tail:工			EMPTY		0.5
256	把关	False	COINCIDENCE	他一把把门关上了。	把关	Verb-Object	SPLIT	把	关	把关+Lemma+Verb-Object+SPLIT+Head:把+Tail:关	把CLF门	把:CLF	QUANTIFIER		0.5
261	将军	False	COINCIDENCE	我们将军法处置，严惩不贷。	将军	PseudoV-O	WHOLE	将	军	将军+Lemma+PseudoV-O+WHOLE+Head:将+Tail:军			EMPTY		0.5
266	小便	False	CROSS_CONST	贪小便宜吃大亏。	吃亏	Verb-Object	SPLIT	吃	亏	吃亏+Lemma+Verb-Object+SPLIT+Head:吃+Tail:亏	大MOD	大:MOD	MODIFIER		1.0
266	小便	False	CROSS_CONST	贪小便宜吃大亏。	小便	Modifier-Head	WHOLE	小	便	小便+Lemma+Modifier-Head+WHOLE+Head:小+Tail:便			EMPTY		0.5
267	大便	False	COINCIDENCE	父亲18岁大的时候便去广东了。	大便	Modifier-Head	SPLIT	大	便	大便+Lemma+Modifier-Head+SPLIT+Head:大+Tail:便	的DE时TIME候	的:DE+时:TIME	UNKNOWN		0.6666666666666666
