sent_id	gold_stem	gold_label	error_type	sentence	lemma	type_tag	shape	head	tail	hfst_analysis
256	把关	False	COINCIDENCE	他一把把门关上了。	把关	Verb-Object	SPLIT	把	关	把关+Lemma+Verb-Object+SPLIT+Head:把+Tail:关
261	将军	False	COINCIDENCE	我们将军法处置，严惩不贷。	将军	PseudoV-O	WHOLE	将	军	将军+Lemma+PseudoV-O+WHOLE+Head:将+Tail:军
266	小便	False	CROSS_CONST	贪小便宜吃大亏。	吃亏	Verb-Object	SPLIT	吃	亏	吃亏+Lemma+Verb-Object+SPLIT+Head:吃+Tail:亏
266	小便	False	CROSS_CONST	贪小便宜吃大亏。	小便	Modifier-Head	WHOLE	小	便	小便+Lemma+Modifier-Head+WHOLE+Head:小+Tail:便
267	大便	False	COINCIDENCE	父亲18岁大的时候便去广东了。	大便	Modifier-Head	SPLIT	大	便	大便+Lemma+Modifier-Head+SPLIT+Head:大+Tail:便
272	见面	False	PP_POS	见跟他面很困难。	见面	Verb-Object	SPLIT	见	面	见面+Lemma+Verb-Object+SPLIT+Head:见+Tail:面
273	吵架	False	PP_POS	吵跟她架没有意义。	吵架	Verb-Object	SPLIT	吵	架	吵架+Lemma+Verb-Object+SPLIT+Head:吵+Tail:架
274	打架	False	PP_POS	打跟人架是不好的。	打架	Verb-Object	SPLIT	打	架	打架+Lemma+Verb-Object+SPLIT+Head:打+Tail:架
275	打仗	False	PP_POS	打与日军仗非常艰辛。	打仗	Verb-Object	SPLIT	打	仗	打仗+Lemma+Verb-Object+SPLIT+Head:打+Tail:仗
276	道歉	False	PP_POS	道向她歉就能解决问题。	道歉	Verb-Object	SPLIT	道	歉	道歉+Lemma+Verb-Object+SPLIT+Head:道+Tail:歉
277	道谢	False	PP_POS	道对他谢是应该的。	道谢	Verb-Object	SPLIT	道	谢	道谢+Lemma+Verb-Object+SPLIT+Head:道+Tail:谢
278	拜年	False	PP_POS	拜给长辈年是传统习俗。	拜年	Verb-Object	SPLIT	拜	年	拜年+Lemma+Verb-Object+SPLIT+Head:拜+Tail:年
279	开玩笑	False	PP_POS	开跟他玩笑只是为了逗他开心。	开玩笑	Verb-Object	SPLIT	开	玩笑	开玩笑+Lemma+Verb-Object+SPLIT+Head:开+Tail:玩笑
280	下雨	False	COINCIDENCE	他在下午泪如雨下。	下雨	Verb-Object	SPLIT	下	雨	下雨+Lemma+Verb-Object+SPLIT+Head:下+Tail:雨
